id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,ANOS_ESPACIO,OLA,F_EXP
480995711,500000,0.0,0.0,170000,47,1,3,5,2019,15.494571735
481001911,1600000,0.0,0.0,680000,50,1,4,2,2019,26.103559879
481004511,1350000,0.0,93000.0,720000,50,1,4,2,2019,21.232103053
481007612,720000,0.0,0.0,320000,52,1,2,4,2019,13.966453484
481007811,500000,1.0,0.0,200000,52,1,4,2,2019,16.922614565
481011913,6000000,1.0,150000.0,5250000,54,1,3,4,2019,52.772056083
481012511,720000,0.0,0.0,175000,54,1,3,4,2019,31.542839291
481015712,570000,0.0,0.0,246200,54,1,3,4,2019,45.887264505
481019111,1680000,0.0,0.0,469000,63,1,4,2,2019,6.8597305762
481023511,5000000,1.0,0.0,3000000,63,1,3,5,2019,13.497765003
481026811,1200000,0.0,0.0,620000,66,1,3,5,2019,25.667582453
481040512,980000,0.0,0.0,700000,73,1,3,5,2019,25.170233148
481064011,3770000,0.0,0.0,2860000,8,1,3,4,2019,56.556605504
481065011,4500000,0.0,0.0,2500000,8,1,3,5,2019,48.998108125
481067511,4200000,1.0,0.0,2350000,8,1,4,4,2019,49.486507832
481074511,600000,0.0,0.0,330000,8,1,4,2,2019,47.531771808
481075611,900000,0.0,0.0,698000,8,1,3,5,2019,44.626883725
481079113,2000000,0.0,0.0,740000,11,1,3,5,2019,284.70143312
481084011,2000000,0.0,0.0,800000,11,1,3,3,2019,523.62380898
481102813,900000,0.0,0.0,170000,13,1,4,4,2019,28.607660084
481116711,550000,0.0,0.0,330000,18,1,3,5,2019,6.8888915356
481117312,800000,0.0,0.0,762000,18,1,4,4,2019,9.8552364422
481119911,450000,0.0,0.0,337000,18,1,4,5,2019,5.8514324752
481127911,850000,0.0,0.0,391000,19,1,3,4,2019,11.683877161
481130112,4500000,1.0,0.0,1500000,19,1,4,2,2019,13.828021528
481136211,450000,0.0,0.0,80000,20,1,4,5,2019,28.26252505
481144012,1300000,0.0,0.0,375000,23,1,4,2,2019,16.648685019
481148212,25000000,0.0,0.0,22600000,23,1,3,5,2019,14.460447252
481149112,2200000,1.0,0.0,1820000,23,1,4,5,2019,11.183806005
481174911,21000000,4.0,1903000.0,15515000,44,1,4,5,2019,4.5709411475
481181311,2500000,2.0,0.0,1810000,44,1,2,4,2019,15.609882009
481184211,6600000,0.0,32000.0,4500000,47,1,3,5,2019,7.0897382833
481191111,600000,0.0,0.0,140000,50,1,4,3,2019,26.782864993
481217011,300000,0.0,0.0,170000,68,1,3,3,2019,43.810751858
481221615,1300000,0.0,0.0,200000,70,1,4,1,2019,9.6499429308
481224511,2500000,1.0,0.0,1830000,70,1,4,5,2019,10.001091645
481286811,1200000,0.0,0.0,210000,13,1,3,5,2019,38.710636987
481305711,800000,0.0,0.0,350000,23,1,3,5,2019,14.460447252
481311211,1800000,0.0,0.0,830000,44,1,3,2,2019,7.2056044773
481313412,2112000,1.0,0.0,1245000,47,1,4,1,2019,9.5853599594
481319911,600000,0.0,0.0,415000,50,1,4,2,2019,28.694806832
481331211,1900000,0.0,0.0,1100000,66,1,3,5,2019,34.852721874
481339112,1400000,0.0,0.0,950000,70,1,3,5,2019,8.9097880235
481357813,300000,0.0,0.0,16000,5,1,3,5,2019,97.97238367
481369211,500000,2.0,0.0,206800,15,1,4,5,2019,7.7688274232
481383111,920000,1.0,0.0,905000,19,1,4,5,2019,8.6137260829
481385212,640000,0.0,0.0,280000,19,1,4,5,2019,10.591964552
481389811,6400000,0.0,0.0,5600000,23,1,3,4,2019,16.211907785
481390011,5500000,1.0,480000.0,4949000,23,1,4,5,2019,13.46487498
481397611,1400000,0.0,0.0,840000,47,1,3,2,2019,21.01042663
481411811,1200000,0.0,0.0,905000,50,1,4,5,2019,25.60780076
481415714,480000,0.0,0.0,0,52,1,3,5,2019,22.068267038
481420411,500000,1.0,0.0,480000,54,1,4,4,2019,23.387248159
481424012,520000,0.0,0.0,480000,54,1,3,2,2019,59.360913705
